Element(s);Structure;Property;Value;Temp;Reference
Al,Ag;l12;a;4.02107;0;file=L12/Ag3Al/Ag3Al-L1_2.dat date=2013-02-19
Al,Ag;l12;B;119.76000;0;file=L12/Ag3Al/Ag3Al-L1_2.dat date=2013-02-19
Al,Ag;l12;Eheat;-0.10093;0;file=L12/Ag3Al/Ag3Al-L1_2.dat date=2013-02-19
Au,Ag;l12;a;4.06093;0;file=L12/Ag3Au/Ag3Au-L1_2.dat date=2013-02-19
Au,Ag;l12;B;132.22000;0;file=L12/Ag3Au/Ag3Au-L1_2.dat date=2013-02-19
Au,Ag;l12;Eheat;-0.05951;0;file=L12/Ag3Au/Ag3Au-L1_2.dat date=2013-02-19
Ca,Ag;l12;a;4.29230;0;file=L12/Ag3Ca/Ag3Ca-L1_2.dat date=2013-02-19
Ca,Ag;l12;B;67.72000;0;file=L12/Ag3Ca/Ag3Ca-L1_2.dat date=2013-02-19
Ca,Ag;l12;Eheat;-0.12159;0;file=L12/Ag3Ca/Ag3Ca-L1_2.dat date=2013-02-19
Cd,Ag;l12;a;4.10471;0;file=L12/Ag3Cd/Ag3Cd-L1_2.dat date=2013-02-19
Cd,Ag;l12;B;109.28000;0;file=L12/Ag3Cd/Ag3Cd-L1_2.dat date=2013-02-19
Cd,Ag;l12;Eheat;-0.07038;0;file=L12/Ag3Cd/Ag3Cd-L1_2.dat date=2013-02-19
Co,Ag;l12;a;3.91779;0;file=L12/Ag3Co/Ag3Co-L1_2.dat date=2013-02-18
Co,Ag;l12;B;161.92000;0;file=L12/Ag3Co/Ag3Co-L1_2.dat date=2013-02-18
Co,Ag;l12;Eheat;0.38035;0;file=L12/Ag3Co/Ag3Co-L1_2.dat date=2013-02-18
Cu,Ag;l12;a;3.95050;0;file=L12/Ag3Cu/Ag3Cu-L1_2.dat date=2013-02-19
Cu,Ag;l12;B;128.07000;0;file=L12/Ag3Cu/Ag3Cu-L1_2.dat date=2013-02-19
Cu,Ag;l12;Eheat;0.04718;0;file=L12/Ag3Cu/Ag3Cu-L1_2.dat date=2013-02-19
Hf,Ag;l12;a;4.16438;0;file=L12/Ag3Hf/Ag3Hf-L1_2.dat date=2013-02-19
Hf,Ag;l12;B;113.53000;0;file=L12/Ag3Hf/Ag3Hf-L1_2.dat date=2013-02-19
Hf,Ag;l12;Eheat;0.17636;0;file=L12/Ag3Hf/Ag3Hf-L1_2.dat date=2013-02-19
Ir,Ag;l12;a;3.98601;0;file=L12/Ag3Ir/Ag3Ir-L1_2.dat date=2013-02-19
Ir,Ag;l12;B;168.16000;0;file=L12/Ag3Ir/Ag3Ir-L1_2.dat date=2013-02-19
